Name,Race_Location,Starting_Position,Finishing_Position,Status
kvyat,Bahrain Grand Prix,17,9,yes,
kvyat,Spanish Grand Prix,8,10,yes,
kvyat,Monaco Grand Prix,5,4,yes,
kvyat,Canadian Grand Prix,8,9,yes,
kvyat,Austrian Grand Prix,15,12,yes,
kvyat,British Grand Prix,7,6,yes,
kvyat,Hungarian Grand Prix,7,2,yes,
kvyat,Belgian Grand Prix,12,4,yes,
kvyat,Italian Grand Prix,18,10,yes,
kvyat,Singapore Grand Prix,4,6,yes,
kvyat,Japanese Grand Prix,20,13,yes,
kvyat,Russian Grand Prix,11,5,yes,
kvyat,United States Grand Prix,4,13,no,
kvyat,Mexican Grand Prix,4,4,yes,
kvyat,Brazilian Grand Prix,6,7,yes,
kvyat,Abu Dhabi Grand Prix,9,10,yes,
kevin_magnussen,Australian Grand Prix,17,17,no,
massa,Australian Grand Prix,3,4,yes,
massa,Malaysian Grand Prix,7,6,yes,
massa,Chinese Grand Prix,4,5,yes,
massa,Bahrain Grand Prix,6,10,yes,
massa,Spanish Grand Prix,9,6,yes,
massa,Monaco Grand Prix,12,15,yes,
massa,Canadian Grand Prix,15,6,yes,
massa,Austrian Grand Prix,4,3,yes,
massa,British Grand Prix,3,4,yes,
massa,Hungarian Grand Prix,8,12,yes,
massa,Belgian Grand Prix,6,6,yes,
massa,Italian Grand Prix,5,3,yes,
massa,Singapore Grand Prix,9,19,no,
massa,Japanese Grand Prix,5,17,yes,
massa,Russian Grand Prix,15,4,yes,
massa,United States Grand Prix,7,17,no,
massa,Mexican Grand Prix,7,6,yes,
massa,Brazilian Grand Prix,8,20,no,
massa,Abu Dhabi Grand Prix,8,8,yes,
perez,Australian Grand Prix,14,10,yes,
perez,Malaysian Grand Prix,14,13,yes,
perez,Chinese Grand Prix,15,11,yes,
perez,Bahrain Grand Prix,11,8,yes,
perez,Spanish Grand Prix,18,13,yes,
perez,Monaco Grand Prix,7,7,yes,
perez,Canadian Grand Prix,10,11,yes,
perez,Austrian Grand Prix,13,9,yes,
perez,British Grand Prix,11,9,yes,
