,points,shot_type,team,winner,Outcome
130,2,2-Pointer,1610612741,1610612741,Won
131,2,2-Pointer,1610612745,1610612744,Lost
132,2,2-Pointer,1610612758,1610612758,Won
133,2,2-Pointer,1610612765,1610612761,Lost
134,2,2-Pointer,1610612748,1610612766,Lost
135,3,3-Pointer,1610612753,1610612754,Lost
136,2,2-Pointer,1610612752,1610612752,Won
137,2,2-Pointer,1610612763,1610612763,Won
138,1,Free Throw,1610612755,1610612738,Lost
139,3,3-Pointer,1610612759,1610612762,Lost
140,2,2-Pointer,1610612749,1610612749,Won
141,2,2-Pointer,1610612751,1610612737,Lost
142,2,2-Pointer,1610612741,1610612741,Won
143,1,Free Throw,1610612742,1610612747,Lost
144,2,2-Pointer,1610612739,1610612739,Won
145,3,3-Pointer,1610612758,1610612758,Won
146,2,2-Pointer,1610612750,1610612744,Lost
147,2,2-Pointer,1610612745,1610612757,Lost
148,2,2-Pointer,1610612743,1610612743,Won
149,3,3-Pointer,1610612765,1610612766,Lost
150,3,3-Pointer,1610612755,1610612748,Lost
151,3,3-Pointer,1610612738,1610612752,Lost
152,2,2-Pointer,1610612740,1610612753,Lost
153,2,2-Pointer,1610612737,1610612764,Lost
154,1,Free Throw,1610612751,1610612749,Lost
155,2,2-Pointer,1610612761,1610612761,Won
156,3,3-Pointer,1610612743,1610612743,Won
157,2,2-Pointer,1610612763,1610612763,Won
158,2,2-Pointer,1610612760,1610612758,Lost
159,2,2-Pointer,1610612742,1610612754,Lost
160,3,3-Pointer,1610612762,1610612759,Lost
161,2,2-Pointer,1610612757,1610612744,Lost
162,2,2-Pointer,1610612746,1610612750,Lost
