,0,1,2,3,4,5,6
90,22200860,1610612755,1610612755,13.37,2,Philadelphia 76ers,Won
91,22200861,1610612748,1610612743,25.48,3,Miami Heat,Lost
92,22200862,1610612751,1610612752,13.73,2,Brooklyn Nets,Lost
93,22200863,1610612741,1610612753,5.97,2,Chicago Bulls,Lost
94,22200864,1610612740,1610612740,13.4,2,New Orleans Pelicans,Won
95,22200865,1610612742,1610612750,23.78,3,Dallas Mavericks,Lost
96,22200866,1610612764,1610612744,5.38,2,Washington Wizards,Lost
97,22200867,1610612747,1610612757,17.1,2,Los Angeles Lakers,Lost
98,22200868,1610612753,1610612761,24.58,3,Orlando Magic,Lost
99,22200869,1610612738,1610612749,10.13,2,Boston Celtics,Lost
100,22200870,1610612756,1610612756,14.19,2,Phoenix Suns,Won
101,22200871,1610612744,1610612746,26.91,3,Golden State Warriors,Lost
102,22200872,1610612764,1610612764,5.77,2,Washington Wizards,Won
103,22200873,1610612759,1610612766,1.67,2,San Antonio Spurs,Lost
104,22200874,1610612741,1610612754,11.42,2,Chicago Bulls,Lost
105,22200875,1610612755,1610612755,25.33,3,Philadelphia 76ers,Won
106,22200876,1610612752,1610612752,11.91,2,New York Knicks,Won
107,22200877,1610612738,1610612738,2.96,2,Boston Celtics,Won
108,22200878,1610612751,1610612751,8.03,2,Brooklyn Nets,Won
109,22200879,1610612763,1610612763,0.34,2,Memphis Grizzlies,Won
110,22200880,1610612760,1610612760,1.56,2,Oklahoma City Thunder,Won
111,22200881,1610612743,1610612743,16.93,2,Denver Nuggets,Won
112,22200882,1610612747,1610612747,25.66,3,Los Angeles Lakers,Won
113,22200883,1610612741,1610612749,26.13,3,Chicago Bulls,Lost
114,22200884,1610612750,1610612764,1.66,2,Minnesota Timberwolves,Lost
115,22200885,1610612746,1610612746,0.6,2,Los Angeles Clippers,Won
116,22200886,1610612743,1610612743,0.78,2,Denver Nuggets,Won
117,22200887,1610612738,1610612738,1.74,2,Boston Celtics,Won
118,22200888,1610612753,1610612753,26.89,3,Orlando Magic,Won
119,22200889,1610612755,1610612755,23.67,3,Philadelphia 76ers,Won
120,22200890,1610612761,1610612761,13.75,2,Toronto Raptors,Won
121,22200891,1610612742,1610612742,11.24,2,Dallas Mavericks,Won
122,22200892,1610612762,1610612762,25.02,3,Utah Jazz,Won
123,22200893,1610612744,1610612747,27.2,3,Golden State Warriors,Lost
124,22200894,1610612757,1610612758,25.03,3,Portland Trail Blazers,Lost
125,22200895,1610612764,1610612752,0.98,2,Washington Wizards,Lost
126,22200896,1610612739,1610612737,0.0,2,Cleveland Cavaliers,Lost
127,22200897,1610612748,1610612749,15.0,1,Miami Heat,Lost
128,22200898,1610612766,1610612766,18.04,2,Charlotte Hornets,Won
129,22200899,1610612760,1610612756,1.31,2,Oklahoma City Thunder,Lost
130,22200900,1610612741,1610612741,16.98,2,Chicago Bulls,Won
131,22200901,1610612745,1610612744,5.07,2,Houston Rockets,Lost
132,22200902,1610612758,1610612758,6.16,2,Sacramento Kings,Won
133,22200903,1610612765,1610612761,4.23,2,Detroit Pistons,Lost
134,22200904,1610612748,1610612766,2.11,2,Miami Heat,Lost
135,22200905,1610612753,1610612754,23.85,3,Orlando Magic,Lost
136,22200906,1610612752,1610612752,17.6,2,New York Knicks,Won
137,22200907,1610612763,1610612763,0.36,2,Memphis Grizzlies,Won
138,22200908,1610612755,1610612738,15.0,1,Philadelphia 76ers,Lost
139,22200909,1610612759,1610612762,24.75,3,San Antonio Spurs,Lost
140,22200910,1610612749,1610612749,1.66,2,Milwaukee Bucks,Won
141,22200911,1610612751,1610612737,0.37,2,Brooklyn Nets,Lost
142,22200912,1610612741,1610612741,16.6,2,Chicago Bulls,Won
143,22200913,1610612742,1610612747,15.0,1,Dallas Mavericks,Lost
144,22200914,1610612739,1610612739,0.98,2,Cleveland Cavaliers,Won
145,22200915,1610612758,1610612758,27.86,3,Sacramento Kings,Won
146,22200916,1610612750,1610612744,2.51,2,Minnesota Timberwolves,Lost
147,22200917,1610612745,1610612757,3.63,2,Houston Rockets,Lost
148,22200918,1610612743,1610612743,7.57,2,Denver Nuggets,Won
149,22200919,1610612765,1610612766,22.98,3,Detroit Pistons,Lost
150,22200920,1610612755,1610612748,26.1,3,Philadelphia 76ers,Lost
151,22200921,1610612738,1610612752,23.57,3,Boston Celtics,Lost
152,22200922,1610612740,1610612753,18.0,2,New Orleans Pelicans,Lost
153,22200923,1610612737,1610612764,10.94,2,Atlanta Hawks,Lost
154,22200924,1610612751,1610612749,15.0,1,Brooklyn Nets,Lost
155,22200925,1610612761,1610612761,1.52,2,Toronto Raptors,Won
156,22200926,1610612743,1610612743,24.37,3,Denver Nuggets,Won
157,22200927,1610612763,1610612763,5.31,2,Memphis Grizzlies,Won
158,22200928,1610612760,1610612758,1.88,2,Oklahoma City Thunder,Lost
159,22200929,1610612742,1610612754,6.15,2,Dallas Mavericks,Lost
160,22200930,1610612762,1610612759,25.66,3,Utah Jazz,Lost
161,22200931,1610612757,1610612744,20.63,2,Portland Trail Blazers,Lost
162,22200932,1610612746,1610612750,5.88,2,Los Angeles Clippers,Lost
